CARRERA;HORA_ENTRADA;HORA_SALIDA;SEXO;FUMADOR;NIVEL_ELOCUENCIA;IMPORTANCIA_FUMADOR;IMPORTANCIA_ELOCUENCIA;IMPORTANCIA_MUSICA;IMPORTANCIA_SEXO;MODO_TRANSPORTE;GUSTO_MUSICAL;CARPOOLING_AUTO;CARPOOLING_BUS
Ingeniería Civil;1:00:00 p. m.;5:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;5;2;2;2;Autobús;Rock, Rap/Hip-Hop, Trap;;Si
Ingeniería Industrial;10:30:00 a. m.;10:00:00 a. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;4;3;1;2;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Diseño Industrial;6:00:00 p. m.;10:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;5;5;5;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Arquitectura;8:00:00 a. m.;5:30:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;1;1;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:00:00 p. m.;7:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;5;6;6;1;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;1:00:00 p. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;3;1;1;1;Autobús;Reggaeton, Trap;;Si
Ingeniería Civil;9:00:00 a. m.;5:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;4;3;1;1;Autobús;Pop, Rock, Reggaeton;;Si
Arquitectura;9:00:00 a. m.;6:00:00 p. m.;Mujer;No;Extrovertido/a - Abierto - Hago amigos fácilmente;8;5;1;4;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Ingeniería Civil;9:00:00 a. m.;5:00:00 p. m.;Hombre;Si;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;3;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;1:00:00 p. m.;7:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;1;4;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Industrial;7:30:00 a. m.;3:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;6;9;1;1;Manejo en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;Si;
Economía;6:30:00 p. m.;5:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;9;5;5;Manejo en auto;Pop;No;
Ingeniería Electrónica;8:00:00 a. m.;4:00:00 p. m.;Hombre;No;Extrovertido/a - Abierto - Hago amigos fácilmente;1;1;1;1;Autobús;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;;Si
Ingeniería Civil;7:30:00 a. m.;7:00:00 p. m.;Mujer;No;Entre el medio de los 2 - No tengo problema para hablar con mis amigos pero me cuesta hablar con extraños;10;6;5;4;Me traen en auto;No tengo preferencia/ me da igual/ escucho lo que hay en la radio;No;
